Easom	  9876543	100	  50	0.506124 
Easom	  9876543	100	  50	0.506124 
Easom	  9876543	100	  50	0.506124 
Easom	  9876543	100	  50	0.506124 
Easom	  9876543	100	  50	0.506124 
Easom	  9876543	100	  50	0.506124 
Easom	  9876543	100	 500	0.977538 
Easom	  9876543	100	5000	0.989324 
Easom	  9876543	100	10000	0.999382 
Easom	  9876543	100	10000	0.999382 
Easom	  9876543	100	10000	0.999382	4.605000 
Easom	  9876543	100	10000	0.999382	0.000000 
Easom	  9876543	100	10000	0.999382	4.606000 
Easom	  9876543	100	10000	0.999382	0.000000 
Easom	  9876543	100	10000	0.999382	0.000000 
Easom	  9876543	100	10000	0.999382	4.526000 
Easom	  9876543	100	10000	0.999382	0.000000 
Easom	  9876543	100	10000	0.999382	4.529000 
Easom	  9876543	100	10000	0.999382	0.000000 
Easom	  9876543	100	10000	0.999382	0.000000 
Easom	  9876543	100	10000	0.999382	NA 
Easom	  9876543	100	1000	0.977538	0.491000 
Easom	  9876543	100	1000	0.977538	0.475000 
Easom	  9876543	100	1000	0.977538	0.475000 
Easom	  9876543	100	1000	0.977538	0.468000 
Easom	  9876543	100	1000	0.977538	0.475000 
Easom	  9876543	100	1000	0.977538	0.480000 
