Problema                          minFObj               medianaFObj                   runtime 
Ackley                                0.0                  0.020933         71.34200000000001 
Bukin6                           0.103834                  0.764695                    58.567 
CrossInTray                     -2.062612                 -2.062612                    60.682 
DropWave                             -1.0                 -0.936245        59.008999999999986 
Eggholder                   NoConvergence             NoConvergence         58.43400000000002 
Griewank                              0.0                     1e-06        123.42399999999999 
Langermann                      -4.127397                 -4.113168                    98.184 
Levy                                  0.0                   2.6e-05                    68.863 
Levy13                                0.0                  0.028977         57.88000000000001 
Rastrigin                             0.0                 39.755904         67.58799999999998 
Schaffer2                             0.0                  0.005888        57.089999999999996 
Schaffer4                             0.5                       0.5                    55.994 
Schwefel                    NoConvergence             NoConvergence                    64.612 
Shubert                          1.645827                  1.854435        61.096000000000004 
Bohachevsky1                      5.2e-05                  0.006604                    57.774 
Bohachevsky2                        1e-05                  3.885901         58.82700000000001 
Bohachevsky3                          0.0                   2.11502         57.58099999999999 
Perm0db                     NoConvergence             NoConvergence        119.81400000000001 
Rothyp                                0.0                     4e-05                   105.867 
Sphere                                0.0                       0.0         59.60600000000001 
Sphere2                         -1.941046                 -1.941045        60.162000000000006 
Sumpow                                0.0                       0.0                    70.544 
Sumsqu                                0.0                  0.000604                    62.468 
Trid                            12.827802                 66.556317         64.56300000000002 
Booth                           17.581862                 20.670623         54.63499999999999 
Matyas                                0.0                  0.000102         56.37200000000001 
Mccormick                      -97.871368                -52.733298                    56.626 
Powersum                    NoConvergence             NoConvergence                     97.08 
Zakharov                              0.0                   5.9e-05         70.64399999999999 
Camel3                                0.0                     1e-06                    62.636 
Camel6                           0.362997                  1.090539        60.384000000000015 
DixonPrice                       0.235084                  12.38245         70.31799999999998 
Rosenbrock1                           0.0                  1.689961                    70.063 
Rosenbrock2                           0.0                       0.0                    62.868 
DeJong5                          0.998004                  0.998042                    81.964 
Easom                           -0.998611                 -0.005659                    62.741 
Michalewicz                     -1.716269                 -0.540872         73.29599999999999 
Beale                           18.975584                 44.853694                      61.0 
Branin1                          2.943397                   4.37158        60.286999999999985 
Branin2                          -0.57102                  1.018118        60.821999999999996 
Branin3                     NoConvergence             NoConvergence         60.57999999999999 
Colville                              0.0                     1e-06         62.62299999999999 
GoldsteinPrice                  33.829078                 33.829078         62.18000000000001 
Hartmann3D                      -0.346937                 -0.104596         99.49199999999999 
Hartmann4D                      -1.225649                  0.300844         94.83099999999999 
Hartmann6D                      -1.449303                 -1.329897        103.55299999999997 
Permdb                           0.630992                  2.826692         92.56599999999999 
Powell                                0.0                       0.0                   316.914 
Shekel                         -10.531639                -10.531627         95.36800000000001 
StyblinskiTang                  22.916868                 22.916868         70.57100000000001 
