#Problema, posicionFinal, runtime
Ackley, 0.7241491199999999, 2.8536799999999998
Bukin6, 3.055469227272727, 2.34268
CrossInTray, -2.0621034400000005, 2.4272799999999997
DropWave, -0.9651179999999999, 2.36036
Eggholder, explosión, 2.33736
Griewank, 0.26462211999999996, 4.936959999999998
Langermann, -3.6288002, 3.92736
Levy, 0.037611, 2.7545200000000003
Levy13, 0.14703211999999996, 2.3152000000000004
Rastrigin, 3.009897583333333, 2.70352
Schaffer2, 0.009256480000000001, 2.2836
Schaffer4, 0.5, 2.23976
Schwefel, explosión, 2.58448
Shubert, 12.845067, 2.4438399999999993
Bohachevsky1, 7.371447043478261, 2.31096
Bohachevsky2, 4.856385840000001, 2.35308
Bohachevsky3, 4.376169250000001, 2.30324
Perm0db, explosión, 4.792560000000001
Rothyp, 0.3043644583333333, 4.234680000000001
Sphere, 0.01290804, 2.38424
Sphere2, -1.9403389600000003, 2.40648
Sumpow, 0.02009232, 2.8217600000000007
Sumsqu, 1.349413043478261, 2.49872
Trid, 54.068622600000005, 2.58252
Booth, 42.67714009090909, 2.1854
Matyas, 0.00218932, 2.25488
Mccormick, -50.82374985714285, 2.26504
Powersum, explosión, 3.8831999999999995
Zakharov, 0.03445968, 2.8257600000000003
Camel3, 0.010008280000000001, 2.5054400000000006
Camel6, 1.18431432, 2.4153600000000006
DixonPrice, 5.296839958333334, 2.81272
Rosenbrock1, 0.07724099999999999, 2.8025200000000003
Rosenbrock2, 0.57061468, 2.51472
DeJong5, 2.68024068, 3.27856
Easom, -0.32474732, 2.5096400000000005
Michalewicz, -0.8150477600000002, 2.93184
Beale, 31.914639, 2.4400000000000004
Branin1, 13.478466000000003, 2.4114799999999996
Branin2, 14.174599, 2.43288
Branin3, explosión, 2.4232
Colville, 4.4173131904761895, 2.5049200000000007
GoldsteinPrice, 33.829078, 2.4871999999999996
Hartmann3D, -0.034991799999999997, 3.9796800000000006
Hartmann4D, -0.11425096, 3.79324
Hartmann6D, -1.34368404, 4.142119999999999
Permdb, 12.057396260869565, 3.7026399999999997
Powell, 1.2996068333333335, 12.676560000000002
Shekel, -7.337411999999998, 3.814720000000001
StyblinskiTang, 22.916868, 2.8228400000000002
